DATE,val,yearAvg,bfYear
200704하순,34232,74880,86188
200705상순,37118,45236,46833
200705중순,39645,33220,33250
200705하순,32944,27683,29806
200706상순,25911,27486,35111
200706중순,25291,33488,49063
200706하순,24582,31824,31861
200707상순,18386,25725,30969
200707중순,19822,20036,38389
200707하순,21368,23013,22778
200708상순,19343,22806,27861
200708중순,15096,21683,24500
200708하순,18458,20255,24300
200709상순,13924,23926,30875
200709중순,19690,24063,34583
200709하순,26250,21881,24500
200710상순,23559,28902,42333
200710중순,43211,32771,29139
200710하순,59305,44935,32556
200711상순,62804,49588,38556
200711중순,122588,49632,35875
200711하순,153628,53428,45583
200712상순,149294,53139,44000
200712중순,115478,48723,40056
200712하순,85681,48224,32111
200801상순,68527,48238,35071
200801중순,52759,49213,31139
200801하순,67796,51562,45278
200802상순,71589,49849,50833
200802중순,65440,56407,78833
200802하순,54190,54440,80893
200803상순,78971,62465,69056
200803중순,86894,63872,70531
200803하순,96473,70827,65100
200804상순,78636,73639,52521
200804중순,44798,75519,39031
200804하순,43417,74880,34232
200805상순,43623,39942,37118
200805중순,35913,33706,39645
200805하순,35479,28933,32944
200806상순,36406,27123,25911
200806중순,43543,27678,25291
200806하순,27017,29018,24582
200807상순,21642,22068,18386
200807중순,26101,20680,19822
200807하순,22587,23013,21368
200808상순,22079,23031,19343
200808중순,20143,21407,15096
200808하순,18422,20255,18458
200809상순,23037,22759,13924
200809중순,20267,24182,19690
200809하순,23706,24131,26250
200810상순,26195,28736,23559
200810중순,21942,34863,43211
200810하순,20623,45402,59305
200811상순,25487,49588,62804
200811중순,22971,49632,122588
200811하순,28948,53428,153628
200812상순,33242,53139,149294
200812중순,35831,48723,115478
200812하순,32149,48224,85681
200901상순,31804,48238,68527
200901중순,47114,46188,52759
200901하순,66974,51562,67796
200902상순,54684,49849,71589
200902중순,61602,51943,65440
200902하순,72967,50099,54190
200903상순,107278,70380,78971
200903중순,97528,74253,86894
200903하순,107427,80844,96473
200904상순,154613,82344,78636
200904중순,150983,72097,44798
200904하순,81847,62111,43417
200905상순,47280,38872,43623
200905중순,26044,32462,35913
200905하순,25658,30731,35479
200906상순,26702,29702,36406
200906중순,34484,31507,43543
200906하순,32379,27403,27017
200907상순,27525,22616,21642
200907중순,28788,22568,26101
200907하순,22566,22992,22587
200908상순,20331,23078,22079
200908중순,21582,20085,20143
200908하순,20103,19370,18422
200909상순,21725,22550,23037
