tm,stn,WS,WSMAX,TA,TMAX,TMIN,TS,TG,HM,HMMIN,CA,SS,SI,RN,RNDUR,EV
20010101,192,1.3,4.0,-2.1,5.6,-10.2,1.0,-10.5,45.6,13.0,2.1,7.5,10.41,,,1.1
20010102,192,2.6,6.4,1.8,8.8,-4.1,2.5,-4.7,47.6,23.0,3.5,5.9,8.8,,,2.4
20010103,192,2.5,4.4,-0.2,4.0,-4.1,1.3,-6.0,42.8,27.0,3.3,7.3,8.89,,,1.2
20010104,192,3.5,5.9,-2.3,2.8,-7.7,0.6,-8.6,37.6,15.0,0.4,9.1,11.45,,,2.4
20010105,192,1.6,4.4,-3.9,4.4,-10.9,-0.4,-11.1,48.0,18.0,0.0,8.6,10.41,,,1.3
20010106,192,1.4,2.9,-1.1,4.8,-10.7,0.2,-11.0,42.6,12.0,5.9,5.4,8.57,,,0.8
20010107,192,1.9,3.0,1.4,3.6,-0.6,-0.1,-1.4,90.3,34.0,10.0,0.0,1.12,25.8,17.92,0.5
20010108,192,1.3,2.7,4.6,10.3,-0.3,4.6,-1.4,74.9,51.0,7.1,5.1,9.16,,,0.9
20010109,192,1.7,4.8,3.7,5.6,0.9,2.9,-1.3,78.0,54.0,9.6,0.0,1.54,6.5,9.67,0.4
20010110,192,2.7,4.3,-0.4,5.1,-6.2,3.0,-6.5,46.1,19.0,2.1,8.4,11.94,,,2.0
20010111,192,1.7,3.8,-0.6,6.5,-6.4,1.7,-7.1,51.5,16.0,1.1,6.8,10.07,,,1.7
20010112,192,2.1,3.3,-1.9,3.6,-6.6,0.6,-7.0,44.5,24.0,2.4,8.5,10.93,,,1.2
20010113,192,2.6,4.5,-3.5,2.2,-6.6,-0.7,-6.8,61.4,38.0,4.9,4.3,7.27,10.6,6.92,0.8
20010114,192,3.1,4.4,-6.8,-1.5,-12.0,-2.8,-13.0,43.9,29.0,1.8,8.4,11.85,0.0,0.2,1.6
20010115,192,3.1,5.3,-7.8,-3.3,-12.9,-4.7,-13.2,43.6,26.0,0.0,9.2,12.87,,,1.4
20010116,192,1.8,4.2,-8.1,-0.9,-15.4,-4.1,-16.0,53.3,25.0,0.0,9.4,13.03,,,1.5
20010117,192,0.8,1.9,-6.1,2.2,-13.6,-1.8,-14.1,57.8,21.0,0.3,9.5,12.22,,,2.3
20010118,192,0.6,1.2,-3.5,7.5,-12.7,-0.7,-13.5,69.3,33.0,0.8,9.0,11.95,,,0.8
20010119,192,0.6,1.7,0.3,7.4,-8.0,0.4,-8.6,72.5,41.0,5.1,3.9,7.76,0.2,2.33,1.3
20010120,192,1.8,3.5,2.5,8.5,-1.0,2.5,-2.3,85.0,64.0,6.4,2.4,5.68,14.5,10.0,1.6
20010121,192,1.6,3.2,1.1,8.9,-3.6,3.0,-4.1,67.0,24.0,1.0,9.2,12.77,,,1.3
20010122,192,1.0,1.7,0.1,5.4,-3.6,0.0,-4.0,69.9,36.0,7.5,0.0,4.63,,,0.5
20010123,192,1.4,4.1,-0.2,8.1,-6.3,2.2,-6.7,56.1,12.0,2.8,8.0,12.96,,,1.4
20010124,192,1.4,3.6,1.2,6.0,-5.4,0.0,-6.0,62.4,48.0,8.4,0.0,5.22,,,0.6
20010125,192,2.3,3.7,4.6,7.4,2.2,2.4,-0.8,62.5,55.0,9.4,0.0,3.44,0.0,1.33,1.3
20010126,192,4.5,6.1,4.5,6.8,1.6,2.9,0.5,57.4,46.0,9.5,0.2,3.99,0.3,1.17,1.0
20010127,192,2.3,4.5,3.0,9.1,-1.5,3.9,-3.2,70.9,43.0,6.0,4.9,9.84,1.0,5.3,1.7
20010128,192,2.0,4.3,-0.2,5.6,-4.6,1.5,-5.2,60.4,24.0,4.4,2.4,6.65,0.0,1.17,1.5
20010129,192,2.0,5.6,-0.5,6.7,-6.8,2.3,-7.1,53.5,27.0,1.0,9.5,13.84,,,1.9
20010130,192,0.9,1.9,-0.4,7.6,-6.8,2.7,-7.0,64.1,31.0,1.0,6.9,12.51,,,1.3
20010131,192,0.6,1.0,-0.6,5.4,-6.6,0.0,-7.1,73.9,52.0,7.5,0.2,4.69,,,0.6
20010201,192,3.8,6.5,0.9,5.0,-3.7,2.8,-4.1,33.4,16.0,4.1,8.7,14.18,,,2.6
20010202,192,2.0,4.0,-2.2,5.4,-8.2,1.4,-8.8,36.0,13.0,0.0,9.7,14.64,,,1.4
20010203,192,0.7,2.3,0.0,8.7,-8.3,1.7,-9.2,57.6,24.0,5.4,6.2,11.48,,,1.2
20010204,192,1.0,1.9,3.1,9.5,-2.1,3.2,-2.7,64.3,39.0,6.0,0.8,7.11,,,0.5
20010205,192,0.8,2.7,4.4,13.3,-4.3,6.0,-4.6,61.0,20.0,3.6,8.1,13.38,,,1.7
20010206,192,0.9,1.3,7.2,12.9,2.7,6.7,0.9,62.6,41.0,7.8,2.0,7.96,0.0,2.67,1.3
20010207,192,2.7,4.7,5.3,10.1,-1.3,6.6,-1.9,45.6,29.0,5.4,4.9,10.33,0.0,0.45,3.2
20010208,192,3.0,4.2,-1.0,4.6,-5.6,2.6,-6.1,28.8,12.0,0.0,10.1,16.44,,,2.9
20010209,192,1.4,3.4,-0.9,6.4,-8.4,1.6,,50.9,28.0,3.4,8.1,13.16,,,1.1
20010210,192,0.9,1.9,-0.2,8.5,-6.9,3.5,-7.8,56.1,18.0,0.8,9.3,14.78,,,1.4
20010211,192,1.2,2.2,0.3,8.1,-8.1,1.9,-8.7,54.3,30.0,5.8,3.9,10.02,,,1.0
20010212,192,1.1,1.7,1.1,4.2,-2.6,1.4,-3.1,39.5,22.0,10.0,0.0,3.69,,,0.9
20010213,192,1.9,4.1,1.7,9.1,-3.8,3.9,-4.3,26.9,8.0,4.0,6.0,12.0,,,2.2
20010214,192,2.1,4.3,-0.5,5.2,-6.4,2.3,-7.5,32.0,13.0,0.0,10.2,16.49,,,2.0
20010215,192,2.9,8.4,-0.1,8.2,-9.2,0.9,,63.6,39.0,3.6,6.6,11.8,1.5,2.5,0.8
20010216,192,2.9,5.1,0.0,4.8,-4.8,2.6,-6.4,40.4,21.0,0.0,10.4,16.97,,,2.7
20010217,192,1.5,3.3,-0.3,7.5,-9.3,2.0,-10.1,50.6,19.0,5.3,8.6,15.23,,,1.4
20010218,192,0.9,2.7,3.8,14.1,-1.9,4.9,-2.3,61.6,34.0,4.9,5.5,11.68,,,1.5
20010219,192,1.3,3.8,5.3,16.4,-4.0,5.4,-4.4,59.8,20.0,1.1,9.6,15.15,,,2.2
20010220,192,1.0,4.2,5.3,15.5,-2.2,7.0,-2.8,67.4,30.0,1.0,9.2,15.47,,,1.6
20010221,192,0.5,1.0,3.4,9.0,-1.2,3.8,-2.8,89.5,79.0,7.5,0.8,3.08,2.0,4.58,0.6
20010222,192,0.9,2.2,6.0,17.9,-0.6,9.0,-1.2,70.9,15.0,3.8,7.0,15.55,,,1.6
20010223,192,1.6,2.7,4.7,6.3,-0.4,4.7,-1.7,87.1,80.0,9.8,0.0,0.8,29.5,16.67,0.5
20010224,192,2.9,3.5,4.1,7.0,1.4,4.8,0.3,71.6,49.0,6.9,0.8,5.21,4.5,14.17,2.6
20010225,192,3.9,9.3,1.6,7.4,-2.8,4.2,-3.7,39.9,20.0,0.0,10.0,15.96,,,3.2
20010226,192,0.7,1.5,0.9,9.5,-5.1,4.3,-5.7,60.4,20.0,4.8,6.4,12.31,,,1.2
20010227,192,0.4,0.9,2.0,8.6,-4.9,3.2,-5.6,77.5,34.0,8.5,0.3,4.39,18.0,8.53,0.8
20010228,192,2.2,4.6,9.6,14.8,5.1,11.0,5.0,73.3,50.0,7.5,6.4,15.07,24.5,7.92,1.5
20010301,192,1.3,2.5,5.6,9.5,-0.1,7.2,-1.3,69.9,36.0,5.9,2.3,6.61,6.0,7.85,1.2
20010302,192,1.0,2.5,4.7,13.3,-2.5,5.3,-2.8,69.9,30.0,4.0,6.6,14.08,,,1.7
20010303,192,2.2,5.5,6.6,13.2,1.2,6.9,0.8,68.6,27.0,7.9,0.0,6.03,1.0,1.67,0.9
20010304,192,3.7,5.7,1.2,5.2,-0.8,3.4,-1.9,55.9,28.0,4.1,5.2,13.21,1.0,3.25,2.4
20010305,192,2.4,6.1,3.8,11.3,-2.8,4.8,-3.9,43.4,20.0,2.8,9.8,17.22,,,2.2
20010306,192,2.2,5.5,6.9,17.2,-2.4,6.3,-2.5,58.9,21.0,5.3,3.9,11.06,,,2.5
20010307,192,4.6,5.9,2.8,5.8,-1.5,5.2,-2.3,36.1,26.0,2.8,10.1,18.39,,,3.6
20010308,192,3.1,5.1,-1.4,3.0,-6.5,1.6,-7.7,45.8,25.0,3.9,5.0,14.12,0.0,1.08,2.7
20010309,192,3.2,5.6,1.2,7.0,-3.7,3.8,-4.9,38.9,19.0,1.0,10.7,19.44,,,2.4
20010310,192,2.7,4.9,5.3,15.1,-2.4,5.9,-3.2,44.6,12.0,0.3,10.0,17.86,,,3.4
20010311,192,1.5,3.7,3.1,11.6,-2.8,6.0,-4.2,49.5,21.0,2.1,8.0,16.69,,,2.3
20010312,192,2.7,4.7,4.1,10.3,-2.5,7.0,-3.6,41.5,24.0,1.5,10.4,19.49,,,3.9
20010313,192,1.4,3.6,4.0,14.1,-5.3,8.3,-5.7,52.4,16.0,0.0,10.8,20.54,,,3.0
20010314,192,2.7,6.6,9.8,17.7,-1.8,9.7,-2.3,68.5,47.0,7.0,2.7,10.37,,,2.1
20010315,192,3.1,5.1,11.0,18.2,2.0,14.6,-0.7,39.9,11.0,1.4,11.0,21.84,,,4.8
20010316,192,1.6,3.4,7.6,16.0,-3.0,10.0,-4.2,54.1,25.0,6.5,7.3,16.54,,,2.3
20010317,192,1.0,2.4,8.9,12.4,6.6,10.6,4.5,76.6,54.0,9.4,0.4,6.59,3.5,5.5,1.3
20010318,192,1.8,4.2,10.8,18.2,1.3,12.2,-0.3,44.4,19.0,2.5,10.3,20.51,,,3.8
20010319,192,2.9,6.3,12.1,20.0,3.4,14.7,2.4,55.6,24.0,2.8,9.4,18.89,,,4.4
20010320,192,2.6,6.0,12.3,21.1,2.5,15.6,1.6,63.6,34.0,0.5,9.0,17.97,,,3.9
20010321,192,1.8,5.1,11.3,22.4,0.0,15.0,-0.8,48.9,13.0,1.1,11.0,21.17,,,4.8
20010322,192,2.2,4.4,13.4,23.6,2.4,16.3,1.3,44.9,10.0,3.5,8.9,16.61,,,5.2
20010323,192,1.5,3.5,11.3,20.2,4.1,16.6,1.7,32.4,14.0,3.6,8.3,18.92,,,4.0
20010324,192,1.2,3.6,11.6,22.7,0.1,16.2,-0.1,39.9,9.0,5.4,8.6,19.94,,,4.7
20010325,192,2.2,5.0,14.3,23.6,8.0,18.5,7.3,42.1,22.0,7.3,5.3,15.41,,,5.4
20010326,192,3.4,4.8,9.1,15.9,4.4,12.4,2.8,19.9,12.0,3.0,9.1,19.72,,,4.9
20010327,192,1.6,3.6,7.7,14.6,0.4,13.2,-0.7,32.4,12.0,7.3,5.9,17.68,0.0,0.08,3.0
20010328,192,2.8,4.5,8.1,13.8,3.5,13.0,3.3,55.8,32.0,8.5,5.3,15.48,0.5,4.17,4.1
20010329,192,3.4,5.2,5.2,10.1,-1.5,12.5,-1.8,31.3,17.0,3.0,10.7,22.02,,,4.7
20010330,192,0.7,1.2,0.3,4.0,-5.1,2.3,-6.0,78.6,47.0,6.8,0.0,4.32,3.5,5.92,0.7
20010331,192,1.5,3.5,5.0,12.5,-2.7,8.5,-3.4,57.6,22.0,2.9,10.2,22.16,,,3.9
20010401,192,1.5,3.9,6.7,15.8,-3.1,10.5,-4.9,50.4,20.0,0.1,11.2,22.76,,,3.7
20010402,192,3.0,7.3,9.7,18.1,-2.2,13.6,-2.8,61.6,31.0,0.0,11.3,23.48,,,5.1
20010403,192,1.6,4.2,10.3,19.6,2.4,16.6,1.2,57.3,13.0,2.3,10.2,23.62,,,4.6
20010404,192,1.7,4.8,9.3,19.7,-0.4,17.1,-1.0,55.1,15.0,0.3,11.5,24.09,,,4.6
20010405,192,1.4,4.3,10.0,21.3,0.0,16.7,-1.2,56.9,18.0,5.0,9.5,21.75,,,4.3
20010406,192,1.4,4.3,11.0,22.1,-0.4,17.7,-1.9,54.1,21.0,4.1,8.6,19.86,,,4.3
20010407,192,1.2,3.9,12.9,23.6,2.8,19.7,1.6,64.0,24.0,0.4,10.3,22.21,,,4.2
20010408,192,1.1,3.1,15.1,24.2,3.3,19.4,2.6,62.6,32.0,5.3,6.1,18.38,0.0,0.75,4.1
20010409,192,2.7,6.1,19.1,26.6,12.2,22.2,10.6,51.6,27.0,4.3,6.8,19.47,0.0,1.42,5.8
20010410,192,1.8,3.7,18.4,26.5,9.0,23.4,6.5,51.4,26.0,5.9,7.6,19.05,,,4.7
20010411,192,1.5,3.0,12.5,20.2,6.0,16.5,4.9,67.0,35.0,8.4,0.0,4.94,3.7,6.17,2.0
20010412,192,2.5,4.6,9.5,16.9,0.8,13.6,0.4,48.8,17.0,1.5,10.7,23.78,,,5.2
20010413,192,2.5,6.0,11.7,21.1,-0.2,16.9,-1.3,49.3,14.0,1.5,10.8,24.13,,,5.8
20010414,192,3.1,4.4,13.3,19.4,5.1,19.0,3.1,45.5,19.0,2.6,11.5,25.91,3.0,1.93,6.2
20010415,192,2.3,7.7,13.0,24.2,0.8,17.7,-0.3,47.9,14.0,0.0,11.0,24.14,,,6.2
20010416,192,2.2,5.7,13.3,23.4,3.0,19.7,1.6,57.8,17.0,1.0,11.7,24.99,,,5.6
20010417,192,1.3,3.7,14.2,26.6,2.8,21.4,1.0,55.8,14.0,0.0,11.4,25.59,,,5.7
20010418,192,1.3,4.4,14.8,27.7,2.6,22.0,0.7,51.8,10.0,0.6,12.0,25.48,,,5.9
20010419,192,1.6,5.5,15.6,27.4,3.5,16.9,2.4,54.3,13.0,1.6,11.3,24.53,,,6.1
20010420,192,2.1,3.7,12.4,17.0,9.0,13.8,7.4,60.9,42.0,8.0,0.1,10.1,,,2.7
20010421,192,1.8,2.5,13.2,21.0,6.7,14.6,6.1,52.6,23.0,6.8,6.7,18.54,,,3.8
20010422,192,1.7,5.1,11.7,21.3,1.1,15.4,0.0,58.3,27.0,1.8,10.8,24.04,,,4.8
20010423,192,2.4,6.1,14.2,23.4,2.3,18.5,1.8,56.3,24.0,3.9,10.7,24.8,,,6.3
20010424,192,1.5,3.7,14.8,22.0,7.8,18.8,6.4,53.6,24.0,6.4,4.2,13.96,,,3.5
20010425,192,1.5,3.7,12.7,20.4,4.3,17.0,2.7,59.5,27.0,3.0,7.6,19.61,,,4.1
20010426,192,1.4,4.0,13.6,23.0,4.2,20.4,3.3,49.3,13.0,3.1,9.8,23.41,,,5.7
20010427,192,1.7,4.6,13.8,24.1,4.0,19.9,3.0,48.9,15.0,4.0,11.1,24.46,,,5.5
20010428,192,1.1,3.7,14.0,21.7,5.8,16.2,5.3,77.3,41.0,9.4,1.4,9.57,2.8,9.45,1.7
20010429,192,0.6,3.3,15.0,16.3,14.1,15.5,13.1,88.8,84.0,10.0,0.0,2.05,22.0,20.92,0.8
20010430,192,1.6,3.8,15.8,22.6,11.2,16.7,8.6,70.0,40.0,5.8,4.2,13.29,17.0,11.42,3.3
20010501,192,1.6,3.0,14.7,19.6,9.3,16.0,7.8,62.3,43.0,9.3,0.8,12.79,0.0,0.83,3.0
20010502,192,2.0,3.7,15.4,22.3,11.0,18.5,10.0,63.6,34.0,4.9,6.7,20.78,0.7,4.67,4.4
20010503,192,1.4,3.1,14.9,20.8,10.4,18.5,8.6,67.1,40.0,4.3,7.9,21.36,,,4.3
20010504,192,1.3,3.5,15.0,22.4,9.0,17.8,8.5,67.3,40.0,4.3,6.6,20.36,,,3.8
20010505,192,1.2,3.0,14.3,21.1,7.6,16.1,7.3,74.1,50.0,6.3,2.6,15.31,,,2.8
20010506,192,1.3,3.9,18.2,25.0,9.4,18.9,8.5,70.5,43.0,7.4,0.9,13.1,0.0,0.33,2.8
20010507,192,0.7,1.3,17.7,18.7,16.3,19.0,15.5,89.9,78.0,10.0,0.0,5.04,20.0,16.47,0.5
20010508,192,1.2,3.4,20.0,24.9,16.5,21.9,15.7,79.4,57.0,8.4,1.8,13.38,0.4,1.58,3.3
20010509,192,2.3,3.6,19.6,25.3,15.1,19.7,12.8,55.4,21.0,6.6,8.9,23.84,,,7.1
20010510,192,1.6,3.0,17.4,25.8,9.7,19.0,8.1,47.8,19.0,2.5,10.5,26.55,,,6.3
20010511,192,1.9,5.1,16.6,24.8,6.9,18.8,6.6,54.3,25.0,2.4,12.3,27.44,,,6.2
20010512,192,1.7,4.0,17.7,26.5,8.9,22.0,7.4,52.4,21.0,0.0,12.7,28.02,,,6.5
20010513,192,1.7,4.2,18.1,28.7,6.6,23.1,5.7,55.1,14.0,2.8,12.5,28.15,,,7.0
20010514,192,2.3,5.9,18.8,27.0,11.6,20.7,11.0,65.5,20.0,5.1,8.7,23.47,,,5.6
20010515,192,1.7,4.4,19.7,27.3,13.0,23.8,11.8,72.0,38.0,7.3,5.7,18.43,,,5.3
20010516,192,2.2,3.9,20.0,27.8,12.4,23.8,10.9,37.1,12.0,3.1,10.7,24.88,,,8.0
20010517,192,2.3,5.5,20.5,29.4,10.4,25.5,9.9,46.4,18.0,3.0,11.5,25.54,,,7.5
20010518,192,3.7,7.0,19.1,25.0,11.6,24.4,10.6,70.3,52.0,7.1,3.9,18.26,,,5.3
20010519,192,2.3,4.5,21.7,29.1,14.9,27.7,13.3,69.1,42.0,3.9,10.1,24.77,,,6.0
20010520,192,1.8,4.9,21.3,28.6,15.5,24.9,14.4,70.5,37.0,8.0,4.2,17.11,,,5.0
20010521,192,1.2,2.9,19.5,24.5,16.0,21.1,13.9,81.3,58.0,9.0,0.0,5.94,8.0,8.75,1.3
20010522,192,2.0,3.4,17.4,19.0,16.4,18.3,15.1,84.6,73.0,10.0,0.0,3.02,10.0,11.58,0.5
20010523,192,2.7,5.0,19.4,22.6,16.6,19.2,11.8,76.3,66.0,8.5,0.3,6.66,0.4,0.58,2.5
20010524,192,1.7,4.1,21.8,31.1,14.7,24.0,10.8,64.5,26.0,2.0,11.6,25.42,,,5.6
20010525,192,1.6,2.6,20.1,25.7,17.1,22.2,16.6,78.8,59.0,5.6,4.1,13.27,,,2.8
20010526,192,0.5,2.9,21.1,26.7,16.3,22.3,15.3,76.1,43.0,8.9,0.5,9.01,0.0,1.0,2.0
20010527,192,1.5,3.6,22.0,30.2,16.4,26.2,15.0,55.0,19.0,5.8,9.2,24.57,,,7.5
20010528,192,1.7,5.0,20.8,29.9,11.1,27.0,10.2,50.1,17.0,1.5,12.4,27.06,,,7.8
20010529,192,1.6,4.5,21.7,31.5,11.2,28.5,10.5,54.4,20.0,4.9,10.0,24.8,,,6.7
20010530,192,0.7,2.1,18.3,20.4,15.4,20.5,14.2,83.1,72.0,9.3,0.0,4.75,2.3,8.75,0.4
20010531,192,1.8,3.5,19.8,26.9,12.6,25.4,10.1,55.0,19.0,3.1,10.1,25.08,,,6.8
20010601,192,2.4,5.9,21.0,30.1,8.9,26.3,7.9,42.0,16.0,2.4,12.7,27.51,,,8.2
20010602,192,1.4,4.1,21.5,31.2,11.6,28.8,10.8,51.4,20.0,2.3,12.4,26.14,,,7.4
20010603,192,1.7,4.5,22.9,32.8,13.2,28.2,12.5,60.3,24.0,4.0,9.0,22.86,,,6.5
20010604,192,1.8,3.8,22.3,29.2,15.2,25.8,13.9,65.4,39.0,6.6,3.8,13.83,,,4.3
20010605,192,0.9,2.6,20.3,23.5,17.7,24.1,17.0,78.3,57.0,9.6,0.0,8.56,0.7,5.47,1.4
20010606,192,1.6,4.2,23.4,31.2,17.7,29.6,16.5,70.3,38.0,4.3,8.8,22.01,,,5.4
20010607,192,1.3,3.8,22.4,31.7,17.0,28.6,15.8,74.1,38.0,5.4,7.7,19.69,,,5.1
20010608,192,1.3,3.0,22.9,30.8,18.8,29.5,16.8,68.1,37.0,3.3,6.4,17.52,,,4.2
20010609,192,1.7,3.5,23.1,31.5,16.0,29.7,14.8,65.6,33.0,3.4,9.4,21.76,,,5.5
20010610,192,1.5,4.1,23.1,32.7,16.9,29.9,16.8,69.4,27.0,5.5,6.5,18.09,,,4.9
20010611,192,1.4,3.1,22.4,28.0,18.5,29.0,16.9,67.9,47.0,6.4,3.1,14.2,,,4.0
20010612,192,1.4,3.1,22.7,29.9,16.1,29.2,15.0,68.4,42.0,4.6,3.3,18.24,,,4.8
20010613,192,1.9,3.7,19.3,23.5,16.9,21.7,16.3,79.3,54.0,9.9,0.0,5.46,10.0,11.25,0.7
20010614,192,1.4,4.7,19.4,21.8,17.0,19.8,16.4,70.8,57.0,9.8,0.0,6.02,0.5,2.83,1.7
20010615,192,1.8,4.1,21.2,28.4,15.5,26.4,13.7,61.1,32.0,2.1,12.1,26.7,,,5.8
20010616,192,1.3,2.6,21.6,28.0,14.2,26.0,13.2,67.8,41.0,4.6,6.1,18.85,,,4.5
20010617,192,1.7,3.4,22.9,28.8,16.5,28.8,15.5,65.0,32.0,7.3,8.1,20.55,,,4.8
20010618,192,0.8,3.7,21.5,24.0,19.9,22.4,18.7,90.4,79.0,10.0,0.0,1.63,88.5,21.07,0.6
20010619,192,2.2,3.5,23.0,25.6,21.1,23.2,19.3,87.9,79.0,9.0,0.1,5.6,30.5,12.83,1.1
20010620,192,1.1,3.8,22.3,28.2,19.8,24.1,16.5,81.0,59.0,9.4,1.5,11.97,0.0,0.17,3.2
20010621,192,1.9,4.3,22.1,26.1,19.5,22.9,14.5,72.1,55.0,9.4,2.0,14.27,,,3.5
20010622,192,1.6,3.2,21.8,26.2,19.5,22.0,18.4,78.6,59.0,9.8,0.0,8.94,0.3,4.83,1.5
20010623,192,0.3,2.8,21.4,25.1,19.6,21.4,17.7,85.9,68.0,10.0,0.0,6.9,5.0,21.75,0.7
20010624,192,0.4,3.2,20.2,21.2,19.0,20.5,18.5,92.6,91.0,10.0,0.0,2.22,138.5,24.0,0.6
20010625,192,3.3,7.9,25.3,29.1,21.1,24.9,20.7,75.0,59.0,7.5,4.1,15.11,32.5,3.73,1.8
20010626,192,2.0,3.8,22.6,25.3,21.5,22.6,21.0,86.1,72.0,9.9,0.1,7.89,5.5,14.08,0.7
20010627,192,2.0,4.0,24.7,29.9,19.6,26.1,18.0,75.5,58.0,5.1,7.5,21.35,,,4.7
20010628,192,1.9,4.3,25.8,31.0,20.8,26.5,19.2,76.3,58.0,6.8,6.4,20.15,,,4.5
20010629,192,2.1,4.1,24.9,27.6,23.1,24.6,22.7,86.4,75.0,10.0,0.0,5.56,7.5,6.48,1.3
20010630,192,3.3,5.1,26.3,30.5,23.1,24.8,22.0,79.3,60.0,6.9,2.0,11.7,4.0,3.5,2.7
20010701,192,1.2,3.2,25.7,31.4,22.5,27.3,21.3,82.8,61.0,6.9,2.4,12.5,12.5,2.97,3.1
20010702,192,2.4,4.5,27.7,31.6,23.9,28.4,21.3,78.0,62.0,4.9,4.2,17.38,,,3.7
20010703,192,2.3,4.7,27.8,33.0,22.7,28.4,20.8,71.8,50.0,1.4,11.2,26.73,,,6.3
20010704,192,2.8,5.3,26.8,32.0,21.5,28.0,20.1,72.3,46.0,1.6,10.1,25.97,,,6.7
20010705,192,2.4,5.5,25.8,32.2,23.6,25.8,23.0,84.1,63.0,9.1,1.5,8.39,15.5,3.67,2.6
20010706,192,0.4,3.8,23.8,27.3,22.3,25.2,21.8,84.3,72.0,9.8,0.4,7.41,3.5,8.08,2.1
20010707,192,0.8,1.8,24.4,30.6,20.6,26.7,20.1,70.9,34.0,4.1,7.6,20.78,,,4.7
20010708,192,1.4,3.1,25.9,34.5,19.1,27.8,17.6,67.8,28.0,1.4,9.7,25.25,,,6.0
20010709,192,1.9,4.5,26.1,32.7,20.4,27.8,19.9,67.8,31.0,1.6,10.6,25.29,,,6.6
20010710,192,2.2,5.2,25.0,30.5,19.0,28.2,17.8,73.3,45.0,6.5,9.5,24.37,0.5,2.08,6.3
20010711,192,1.8,3.1,25.4,28.7,23.8,25.5,23.1,87.4,73.0,10.0,0.0,4.62,22.5,7.98,1.0
20010712,192,1.0,2.5,21.0,24.7,20.1,22.0,19.6,90.1,85.0,9.9,0.0,2.5,56.0,11.58,0.5
20010713,192,0.3,2.1,24.3,28.3,21.5,25.6,21.1,83.4,62.0,9.5,0.0,7.95,,,1.5
20010714,192,0.9,5.9,24.8,30.1,22.4,25.3,21.6,87.6,69.0,8.4,0.2,7.4,43.5,5.6,1.2
20010715,192,3.3,5.4,27.4,31.6,24.4,28.7,22.7,79.9,59.0,4.8,8.5,21.05,5.5,1.58,4.4
20010716,192,1.9,3.3,25.5,29.5,23.0,26.2,22.5,79.3,60.0,7.5,2.7,14.68,0.1,0.42,3.2
20010717,192,1.6,2.8,24.8,29.7,19.9,28.8,18.4,72.8,52.0,4.9,7.2,19.69,,,4.5
20010718,192,1.2,3.6,23.9,31.0,17.2,27.5,15.2,71.5,38.0,1.1,11.1,25.66,,,5.2
20010719,192,0.8,3.8,23.3,28.9,18.6,25.2,17.6,78.8,58.0,8.5,0.4,11.41,0.0,2.25,2.7
20010720,192,1.7,4.3,26.1,32.0,21.5,26.4,19.3,79.0,60.0,6.6,1.8,14.87,,,3.9
20010721,192,2.2,4.4,28.0,32.4,23.8,28.8,22.1,76.8,57.0,6.5,5.2,18.57,,,4.7
20010722,192,3.1,5.4,28.8,33.3,24.1,31.2,22.8,75.4,57.0,2.3,11.4,25.22,,,6.2
20010723,192,3.0,4.3,29.8,35.6,26.0,33.3,24.1,70.8,48.0,2.5,9.3,22.02,,,5.7
20010724,192,1.1,3.2,29.6,35.9,23.5,32.1,22.5,69.1,41.0,2.1,10.0,22.52,,,6.1
20010725,192,1.0,5.8,27.3,37.2,22.7,31.4,21.3,80.0,42.0,5.9,6.3,16.58,57.0,6.33,3.3
20010726,192,0.8,2.6,28.5,36.5,22.1,30.5,22.0,72.9,43.0,4.0,9.2,22.72,,,5.6
20010727,192,0.8,1.8,27.2,31.3,24.3,28.4,23.8,81.0,65.0,8.3,0.0,8.77,,,2.2
20010728,192,1.7,3.6,28.6,33.4,24.8,30.1,24.3,70.0,43.0,5.9,10.4,24.5,,,6.3
20010729,192,2.7,5.5,29.3,33.7,24.7,29.9,23.4,73.9,53.0,2.4,11.0,26.02,,,6.9
20010730,192,2.2,6.5,28.7,32.2,25.6,30.1,24.1,77.6,60.0,6.0,5.1,16.1,1.0,1.42,4.5
20010731,192,2.3,5.9,28.7,33.6,23.9,29.6,22.4,78.0,58.0,7.3,8.3,23.57,49.0,4.58,5.6
20010801,192,1.5,3.5,29.2,33.6,26.1,30.2,24.8,80.3,60.0,4.6,3.6,13.72,1.0,1.25,3.3
20010802,192,1.1,3.4,29.6,35.2,25.2,31.0,23.9,75.3,50.0,3.0,8.3,21.38,,,5.0
20010803,192,0.9,2.4,30.1,36.7,24.5,32.1,23.3,71.8,39.0,2.3,10.4,23.49,,,5.4
20010804,192,1.1,3.0,29.9,36.6,25.7,31.4,24.8,75.3,42.0,6.0,5.5,18.0,0.5,1.67,4.5
20010805,192,0.8,5.8,26.2,32.7,22.6,27.6,21.2,81.3,55.0,6.3,0.4,9.52,1.2,1.25,2.9
20010806,192,1.4,3.8,27.7,34.8,21.7,29.8,21.4,74.0,45.0,4.6,9.0,23.82,,,5.2
20010807,192,1.4,4.0,25.8,28.3,24.2,26.2,23.5,89.3,78.0,8.8,0.9,5.01,46.5,7.33,1.6
20010808,192,2.6,5.1,28.4,33.8,24.4,29.7,23.2,75.9,60.0,5.5,8.3,19.15,0.1,0.13,4.3
20010809,192,1.0,3.0,27.2,33.6,22.7,29.1,21.7,77.4,48.0,6.6,5.6,16.29,0.2,2.67,4.2
