DATE,val,yearAvg,bfYear
200704하순,28983,30759,39000
200705상순,25579,35823,56806
200705중순,33289,34144,33250
200705하순,27692,35363,38083
200706상순,24561,30437,42139
200706중순,23904,25822,29344
200706하순,23685,23981,22111
200707상순,20279,24156,24750
200707중순,28307,27666,29139
200707하순,21565,26231,47361
200708상순,13150,25711,58611
200708중순,27698,21638,26781
200708하순,29448,25789,32800
200709상순,37749,34534,35406
200709중순,42928,31856,50639
200709하순,54623,26303,37333
200710상순,25154,24816,30333
200710중순,28744,25803,13778
200710하순,49043,26246,13694
200711상순,46997,28870,18861
200711중순,47670,27609,18063
200711하순,51854,31417,27750
200712상순,60120,34185,30031
200712중순,70161,34978,37028
200712하순,67852,36267,42944
200801상순,66956,41356,37286
200801중순,53739,41630,32389
200801하순,76869,46615,45056
200802상순,87493,53052,54889
200802중순,58996,49501,49208
200802하순,56425,61976,38143
200803상순,54885,66257,43333
200803중순,52182,60183,47969
200803하순,47641,41725,38625
200804상순,34365,37072,36673
200804중순,30690,35263,33066
200804하순,33324,29833,28983
200805상순,32563,33828,25579
200805중순,33122,31781,33289
200805하순,24700,32891,27692
200806상순,25705,27833,24561
200806중순,25022,25808,23904
200806하순,19707,23835,23685
200807상순,19014,24156,20279
200807중순,28600,28612,28307
200807하순,21186,26231,21565
200808상순,17294,23248,13150
200808중순,25741,24159,27698
200808하순,18080,27372,29448
200809상순,16408,35830,37749
200809중순,19999,36295,42928
200809하순,13879,30970,54623
200810상순,15026,26590,25154
200810중순,16726,28239,28744
200810하순,22206,27896,49043
200811상순,30102,28870,46997
200811중순,30273,27609,47670
200811하순,27685,31417,51854
200812상순,33232,34185,60120
200812중순,30767,34978,70161
200812하순,40557,36267,67852
200901상순,50902,41356,66956
200901중순,56681,45959,53739
200901하순,61729,54684,76869
200902상순,65059,65168,87493
200902중순,85358,52809,58996
200902하순,120477,59522,56425
200903상순,88154,61656,54885
200903중순,66344,55206,52182
200903하순,55363,41725,47641
200904상순,38616,37971,34365
200904중순,43766,35263,30690
200904하순,30158,30664,33324
200905상순,38932,32052,32563
200905중순,36919,31726,33122
200905하순,31183,30805,24700
200906상순,33797,26172,25705
200906중순,23478,24871,25022
200906하순,22809,23247,19707
200907상순,28099,22666,19014
200907중순,27255,28432,28600
200907하순,31575,26069,21186
200908상순,53350,21304,17294
200908중순,17178,24572,25741
200908하순,13296,25261,18080
200909상순,25266,35524,16408
200909중순,27013,31573,19999
200909하순,26927,24753,13879
200910상순,15714,21487,15026
200910중순,17428,23879,16726
200910하순,28758,25448,22206
200911상순,35717,29404,30102
200911중순,33276,27496,30273
200911하순,43106,29853,27685
200912상순,46841,33244,33232
200912중순,51935,34978,30767
200912하순,44913,39100,40557
201001상순,48622,46761,50902
201001중순,48813,48131,56681
201001하순,46082,60242,61729
201002상순,70237,68558,65059
201002중순,91740,64521,85358
201002하순,74350,70582,120477
201003상순,110816,69244,88154
201003중순,127232,61332,66344
201003하순,76937,44730,55363
201004상순,82837,39388,38616
201004중순,45111,38716,43766
201004하순,57649,30902,30158
201005상순,61155,35155,38932
201005중순,38097,33220,36919
201005하순,35672,29847,31183
201006상순,37903,28021,33797
201006중순,36964,24135,23478
201006하순,20749,22868,22809
201007상순,33406,23249,28099
201007중순,32127,28432,27255
201007하순,26038,26186,31575
201008상순,20335,28233,53350
201008중순,22191,24572,17178
201008하순,31148,24843,13296
201009상순,46653,32733,25266
201009중순,60060,33494,27013
201009하순,63043,27966,26927
201010상순,47165,21717,15714
201010중순,33277,20107,17428
201010하순,31040,25312,28758
201011상순,51418,30727,35717
201011중순,50330,28579,33276
201011하순,49606,32847,43106
201012상순,34420,37626,46841
201012중순,28690,40644,51935
201012하순,27997,42805,44913
201101상순,33184,50539,48622
201101중순,32516,53078,48813
201101하순,45981,60556,46082
201102상순,37237,71423,70237
201102중순,42930,78410,91740
201102하순,64899,73341,74350
201103상순,81848,80494,110816
201103중순,74146,62165,127232
201103하순,36169,50059,76937
201104상순,30577,39388,82837
201104중순,29520,39731,45111
201104하순,27695,34161,57649
201105상순,32006,42767,61155
201105중순,36458,34486,38097
201105하순,39480,31516,35672
201106상순,42221,32468,37903
201106중순,25722,26090,36964
201106하순,30478,21890,20749
201107상순,37719,24376,33406
201107중순,67663,28682,32127
201107하순,54472,26393,26038
201108상순,53130,30326,20335
201108중순,30710,24905,22191
201108하순,52063,26225,31148
201109상순,51518,32807,46653
201109중순,27477,40193,60060
201109하순,22361,39628,63043
201110상순,28514,23734,47165
201110중순,37271,20966,33277
201110하순,38300,27335,31040
201111상순,40916,37606,51418
201111중순,35252,37073,50330
201111하순,38606,40154,49606
201112상순,50187,38164,34420
201112중순,49255,39910,28690
201112하순,42382,42805,27997
201201상순,61743,45603,33184
201201중순,63851,45022,32516
201201하순,63285,51264,45981
201202상순,69316,63395,37237
201202중순,105752,64521,42930
201202하순,103426,65224,64899
201203상순,100370,74962,81848
201203중순,97972,64224,74146
201203하순,65624,47209,36169
201204상순,51486,36551,30577
201204중순,37806,35841,29520
201204하순,46478,30822,27695
201205상순,54638,34500,32006
201205중순,47580,35555,36458
201205하순,40349,31516,39480
201206상순,30241,32468,42221
201206중순,26276,24882,25722
201206하순,29068,22414,30478
201207상순,27821,27261,37719
201207중순,27642,29678,67663
201207하순,27668,26393,54472
201208상순,32801,30253,53130
201208중순,40491,25210,30710
201208하순,34239,26225,52063
201209상순,43347,36556,51518
201209중순,74149,32472,27477
201209하순,54523,34637,22361
201210상순,32065,23127,28514
201210중순,37694,26483,37271
201210하순,41091,32699,38300
201211상순,43028,41210,40916
201211중순,60461,38733,35252
201211하순,52496,43773,38606
201212상순,60317,43816,50187
201212중순,55687,43986,49255
201212하순,69197,42617,42382
201301상순,65291,53756,61743
201301중순,54612,53078,63851
201301하순,77832,57032,63285
201302상순,83470,68204,69316
201302중순,79562,78698,105752
201302하순,102452,80892,103426
201303상순,88763,90124,100370
201303중순,56439,79488,97972
201303하순,51056,56209,65624
201304상순,40270,41489,51486
201304중순,38656,37421,37806
201304하순,31114,36653,46478
201305상순,38583,42044,54638
201305중순,37083,37158,47580
201305하순,29648,35445,40349
201306상순,47280,33980,30241
201306중순,33832,25673,26276
201306하순,27867,24209,29068
201307상순,35877,29775,27821
201307중순,42708,29456,27642
201307하순,48598,28427,27668
201308상순,48141,35422,32801
201308중순,25361,26214,40491
201308하순,33052,27822,34239
201309상순,38229,38422,43347
201309중순,38247,38183,74149
201309하순,21510,34604,54523
201310상순,22056,25431,32065
201310중순,19923,29325,37694
201310하순,21702,32699,41091
201311상순,26472,39887,43028
201311중순,28667,39619,60461
201311하순,31374,43773,52496
201312상순,31786,43816,60317
201312중순,32327,43986,55687
201312하순,35189,42617,69197
201401상순,56369,53756,65291
201401중순,81989,53368,54612
201401하순,89805,57032,77832
201402상순,75088,68204,83470
201402중순,87911,85553,79562
201402하순,94798,93409,102452
201403상순,103479,92429,88763
201403중순,74432,79488,56439
201403하순,39753,57347,51056
201404상순,57585,43457,40270
201404중순,50739,40076,38656
201404하순,57909,35917,31114
201405상순,42602,44051,38583
201405중순,41036,37366,37083
