당근	2016-01-01	4.19887
당근	2016-01-02	4.26464
당근	2016-01-03	4.56613
당근	2016-01-04	5.68437
당근	2016-01-05	5.47059
당근	2016-01-06	5.66244
당근	2016-01-07	5.3171
당근	2016-01-08	5.53088
당근	2016-01-09	4.1002
당근	2016-01-10	4.71413
당근	2016-01-11	5.3774
당근	2016-01-12	5.57474
당근	2016-01-13	5.72274
당근	2016-01-14	5.24036
당근	2016-01-15	4.96628
당근	2016-01-16	3.80419
당근	2016-01-17	4.41813
당근	2016-01-18	5.06495
당근	2016-01-19	5.05399
당근	2016-01-20	4.89502
당근	2016-01-21	5.4651
당근	2016-01-22	4.97725
당근	2016-01-23	4.36331
당근	2016-01-24	4.4565
당근	2016-01-25	5.43222
당근	2016-01-26	5.59666
당근	2016-01-27	5.71726
당근	2016-01-28	5.646
당근	2016-01-29	4.88406
당근	2016-01-30	4.49487
당근	2016-01-31	4.28657
당근	2016-02-01	5.13073
당근	2016-02-02	5.19651
당근	2016-02-03	4.81828
당근	2016-02-04	4.6045
당근	2016-02-05	4.2482
당근	2016-02-06	3.65619
당근	2016-02-07	3.15737
당근	2016-02-08	2.90522
당근	2016-02-09	3.36019
당근	2016-02-10	4.17146
당근	2016-02-11	4.85117
당근	2016-02-12	5.30066
당근	2016-02-13	4.37428
당근	2016-02-14	7.32335
당근	2016-02-15	6.42438
당근	2016-02-16	6.13934
당근	2016-02-17	6.01874
당근	2016-02-18	5.97489
당근	2016-02-19	5.23488
당근	2016-02-20	4.7251
당근	2016-02-21	4.80732
당근	2016-02-22	5.05947
당근	2016-02-23	5.85978
당근	2016-02-24	5.53637
당근	2016-02-25	5.97489
당근	2016-02-26	5.09236
당근	2016-02-27	6.17223
당근	2016-02-28	6.55045
당근	2016-02-29	5.99682
당근	2016-03-01	5.82689
당근	2016-03-02	5.65148
당근	2016-03-03	5.32807
당근	2016-03-04	4.90599
당근	2016-03-05	5.32807
당근	2016-03-06	5.75015
당근	2016-03-07	5.50348
당근	2016-03-08	5.59666
당근	2016-03-09	5.48155
당근	2016-03-10	5.44866
당근	2016-03-11	5.47059
당근	2016-03-12	4.73606
당근	2016-03-13	6.06808
당근	2016-03-14	6.64364
당근	2016-03-15	6.10645
당근	2016-03-16	6.07356
당근	2016-03-17	6.44082
당근	2016-03-18	6.40793
당근	2016-03-19	6.06808
당근	2016-03-20	7.14246
당근	2016-03-21	7.37269
당근	2016-03-22	7.1315
당근	2016-03-23	7.18631
당근	2016-03-24	6.84098
당근	2016-03-25	5.93652
당근	2016-03-26	4.80184
당근	2016-03-27	5.24584
당근	2016-03-28	6.08452
당근	2016-03-29	6.86838
당근	2016-03-30	6.12837
당근	2016-03-31	6.04067
당근	2016-04-01	5.95844
당근	2016-04-02	4.98821
당근	2016-04-03	6.95609
당근	2016-04-04	6.89031
당근	2016-04-05	6.81357
당근	2016-04-06	6.83001
당근	2016-04-07	6.03519
당근	2016-04-08	5.7337
당근	2016-04-09	5.3774
당근	2016-04-10	5.71726
당근	2016-04-11	6.67653
당근	2016-04-12	5.99133
당근	2016-04-13	5.83237
당근	2016-04-14	5.76111
당근	2016-04-15	5.66792
당근	2016-04-16	5.54185
당근	2016-04-17	6.12289
당근	2016-04-18	6.33667
당근	2016-04-19	6.7752
당근	2016-04-20	6.4463
당근	2016-04-21	6.33119
당근	2016-04-22	5.64051
당근	2016-04-23	5.10332
당근	2016-04-24	5.50896
당근	2016-04-25	6.18319
당근	2016-04-26	6.35312
당근	2016-04-27	6.14482
당근	2016-04-28	6.1503
당근	2016-04-29	5.39384
당근	2016-04-30	4.94984
당근	2016-05-01	5.07043
당근	2016-05-02	5.92007
당근	2016-05-03	6.10645
당근	2016-05-04	5.61859
당근	2016-05-05	4.64835
당근	2016-05-06	5.04303
당근	2016-05-07	4.64835
당근	2016-05-08	5.23488
당근	2016-05-09	6.83001
당근	2016-05-10	6.83549
당근	2016-05-11	6.18319
당근	2016-05-12	6.45727
당근	2016-05-13	5.51444
당근	2016-05-14	4.97725
당근	2016-05-15	5.67889
당근	2016-05-16	7.18083
당근	2016-05-17	6.62171
당근	2016-05-18	6.4189
당근	2016-05-19	6.64364
당근	2016-05-20	5.63503
당근	2016-05-21	5.11977
당근	2016-05-22	5.89267
