DATE,val,yearAvg,bfYear
200812상순,33955.0,0.0,62932.0
200812중순,36922.0,0.0,59428.0
200812하순,42567.0,0.0,49135.0
200901상순,56506.0,0.0,43744.0
200901중순,68422.0,0.0,29937.0
200901하순,71924.0,0.0,35926.0
200902상순,52943.0,0.0,43320.0
200902중순,52903.0,0.0,25634.0
200902하순,61337.0,0.0,32768.0
200903상순,58650.0,0.0,36182.0
200903중순,66326.0,0.0,32915.0
200903하순,73578.0,0.0,27503.0
200904상순,101852.0,0.0,42080.0
200904중순,140201.0,0.0,27746.0
200904하순,155727.0,0.0,20193.0
200905상순,60756.0,0.0,20584.0
200905중순,28617.0,0.0,31527.0
200905하순,20549.0,0.0,40488.0
200906상순,19652.0,0.0,40567.0
200906중순,26186.0,0.0,37579.0
200906하순,43257.0,0.0,26327.0
200907상순,33775.0,0.0,25533.0
200907중순,32846.0,0.0,36127.0
200907하순,36300.0,0.0,58195.0
200908상순,23061.0,0.0,37802.0
200908중순,26135.0,0.0,25973.0
200908하순,22673.0,0.0,22717.0
200909상순,26783.0,0.0,23218.0
200909중순,32649.0,0.0,38279.0
200909하순,26717.0,0.0,42941.0
200910상순,23787.0,0.0,40037.0
200910중순,20267.0,0.0,24951.0
200910하순,34441.0,0.0,21368.0
200911상순,44030.0,0.0,20971.0
200911중순,41148.0,0.0,26211.0
200911하순,36787.0,0.0,25517.0
200912상순,48230.0,0.0,33955.0
200912중순,49119.0,0.0,36922.0
200912하순,50904.0,0.0,42567.0
201001상순,60433.0,0.0,56506.0
201001중순,56989.0,0.0,68422.0
201001하순,67312.0,0.0,71924.0
201002상순,66405.0,0.0,52943.0
201002중순,88667.0,0.0,52903.0
201002하순,65857.0,0.0,61337.0
201003상순,70342.0,0.0,58650.0
201003중순,69612.0,0.0,66326.0
201003하순,87904.0,0.0,73578.0
201004상순,104981.0,0.0,101852.0
201004중순,124786.0,0.0,140201.0
201004하순,170013.0,0.0,155727.0
201005상순,169483.0,0.0,60756.0
201005중순,106593.0,0.0,28617.0
201005하순,38693.0,0.0,20549.0
201006상순,25755.0,0.0,19652.0
201006중순,27214.0,0.0,26186.0
201006하순,28441.0,0.0,43257.0
201007상순,30144.0,0.0,33775.0
201007중순,45710.0,0.0,32846.0
201007하순,37360.0,0.0,36300.0
201008상순,36985.0,0.0,23061.0
201008중순,49383.0,0.0,26135.0
201008하순,52307.0,0.0,22673.0
201009상순,32202.0,0.0,26783.0
201009중순,34436.0,0.0,32649.0
