DATE,품목명,단위,등급명,평균가격,전년,평년
202107상순,홍고추,10키로,상,61830,50369,45681
202107중순,홍고추,10키로,상,70311,37689,37644
202107하순,홍고추,10키로,상,49195,41586,37204
202108상순,홍고추,10키로,상,38692,50705,36344
202108중순,홍고추,10키로,상,28092,47723,32050
202108하순,홍고추,10키로,상,25133,45162,31732
202109상순,홍고추,10키로,상,29798,40427,35450
202109중순,홍고추,10키로,상,43889,57045,50858
202109하순,홍고추,10키로,상,32981,129302,61365
202110상순,홍고추,10키로,상,33619,155975,97304
202110중순,홍고추,10키로,상,41747,178341,71773
202110하순,홍고추,10키로,상,58482,197283,94935
202111상순,홍고추,10키로,상,62231,180463,111532
202111중순,홍고추,10키로,상,43523,131156,94155
202111하순,홍고추,10키로,상,56365,60442,64171
202112상순,홍고추,10키로,상,68413,48709,67247
202112중순,홍고추,10키로,상,64285,61297,67635
202112하순,홍고추,10키로,상,60250,57722,57119
202201상순,홍고추,10키로,상,55310,42699,44945
202201중순,홍고추,10키로,상,52609,44770,49203
202201하순,홍고추,10키로,상,95525,45361,56605
202202상순,홍고추,10키로,상,72869,74551,59164
202202중순,홍고추,10키로,상,66047,50770,50181
202202하순,홍고추,10키로,상,100707,62563,55525
202203상순,홍고추,10키로,상,136237,97039,84243
202203중순,홍고추,10키로,상,121355,128112,104596
202203하순,홍고추,10키로,상,143105,140872,111984
202204상순,홍고추,10키로,상,130187,170402,122193
202204중순,홍고추,10키로,상,78710,125406,103072
202204하순,홍고추,10키로,상,70747,89755,69197
202205상순,홍고추,10키로,상,87323,101305,63085
202205중순,홍고추,10키로,상,103685,58291,48133
202205하순,홍고추,10키로,상,62100,73048,55893
202206상순,홍고추,10키로,상,74091,57885,58951
202206중순,홍고추,10키로,상,70269,45216,53070
202206하순,홍고추,10키로,상,44823,62639,54323
202207상순,홍고추,10키로,상,50339,61830,52219
202207중순,홍고추,10키로,상,41855,70311,43743
202207하순,홍고추,10키로,상,37746,49195,42624
202208상순,홍고추,10키로,상,40323,38692,38898
202208중순,홍고추,10키로,상,46041,28092,33293
202208하순,홍고추,10키로,상,41710,25133,33008
202209상순,홍고추,10키로,상,52559,29798,35450
202209중순,홍고추,10키로,상,55744,43889,52284
202209하순,홍고추,10키로,상,93342,32981,61365
202210상순,홍고추,10키로,상,124947,33619,97304
202210중순,홍고추,10키로,상,100433,41747,70235
202210하순,홍고추,10키로,상,128759,58482,81093
202211상순,홍고추,10키로,상,79709,62231,86752
202211중순,홍고추,10키로,상,64548,43523,70051
202211하순,홍고추,10키로,상,63037,56365,58972
202212상순,홍고추,10키로,상,81215,68413,64338
202212중순,홍고추,10키로,상,93553,64285,62967
202212하순,홍고추,10키로,상,108639,60250,57119
202301상순,홍고추,10키로,상,92146,55310,44945
202301중순,홍고추,10키로,상,94656,52609,47739
202301하순,홍고추,10키로,상,73299,95525,56605
202302상순,홍고추,10키로,상,54471,72869,62296
202302중순,홍고추,10키로,상,75151,66047,53855
202302하순,홍고추,10키로,상,114893,100707,66622
202303상순,홍고추,10키로,상,150925,136237,89385
202303중순,홍고추,10키로,상,191964,121355,114507
202303하순,홍고추,10키로,상,212737,143105,132236
202304상순,홍고추,10키로,상,207382,130187,129606
202304중순,홍고추,10키로,상,196845,78710,95802
202304하순,홍고추,10키로,상,139075,70747,72977
202305상순,홍고추,10키로,상,61180,87323,76624
202305중순,홍고추,10키로,상,106633,103685,53065
202305하순,홍고추,10키로,상,94690,62100,52244
202306상순,홍고추,10키로,상,72625,74091,58951
202306중순,홍고추,10키로,상,105622,70269,60283
202306하순,홍고추,10키로,상,96997,44823,54405
202307상순,홍고추,10키로,상,60148,50339,53463
202307중순,홍고추,10키로,상,59801,41855,45131
202307하순,홍고추,10키로,상,56296,37746,42842
202308상순,홍고추,10키로,상,40199,40323,41954
202308중순,홍고추,10키로,상,38475,46041,39163
202308하순,홍고추,10키로,상,39214,41710,35700
202309상순,홍고추,10키로,상,42928,52559,35450
202309중순,홍고추,10키로,상,82278,55744,51851
202309하순,홍고추,10키로,상,102483,93342,62587
202310상순,홍고추,10키로,상,87270,124947,88100
202310중순,홍고추,10키로,상,106710,100433,82122
202310하순,홍고추,10키로,상,88442,128759,100536
202311상순,홍고추,10키로,상,58507,79709,89423
202311중순,홍고추,10키로,상,52809,64548,71952
202311하순,홍고추,10키로,상,71273,63037,60096
202312상순,홍고추,10키로,상,80852,81215,64338
202312중순,홍고추,10키로,상,77846,93553,62967
202312하순,홍고추,10키로,상,69448,108639,57649
202401상순,홍고추,10키로,상,54157,92146,48961
202401중순,홍고추,10키로,상,48787,94656,51816
202401하순,홍고추,10키로,상,64385,73299,65917
202402상순,홍고추,10키로,상,76869,54471,67297
202402중순,홍고추,10키로,상,91038,75151,58947
202402하순,홍고추,10키로,상,152950,114893,79477
202403상순,홍고추,10키로,상,165036,150925,108120
202403중순,홍고추,10키로,상,144570,191964,122054
202403하순,홍고추,10키로,상,184237,212737,132236
202404상순,홍고추,10키로,상,241446,207382,140692
202404중순,홍고추,10키로,상,185788,196845,101709
202404하순,홍고추,10키로,상,212559,139075,73915
202405상순,홍고추,10키로,상,139545,61180,67561
202405중순,홍고추,10키로,상,81093,106633,67935
202405하순,홍고추,10키로,상,136484,94690,61881
202406상순,홍고추,10키로,상,78837,72625,63008
202406중순,홍고추,10키로,상,77378,105622,65091
202406하순,홍고추,10키로,상,70462,96997,55322
202407상순,홍고추,10키로,상,45248,60148,53618
202407중순,홍고추,10키로,상,48694,59801,48247
202407하순,홍고추,10키로,상,44104,56296,42842
202408상순,홍고추,10키로,상,39747,40199,39738
202408중순,홍고추,10키로,상,35345,38475,37536
202408하순,홍고추,10키로,상,42926,39214,35352
202409상순,홍고추,10키로,상,54235,42928,38553
202409중순,홍고추,10키로,상,89893,82278,52226
202409하순,홍고추,10키로,상,96554,102483,78394
202410상순,홍고추,10키로,상,114740,87270,96332
202410중순,홍고추,10키로,상,118733,106710,88820
202410하순,홍고추,10키로,상,76642,88442,91894
202411상순,홍고추,10키로,상,94520,58507,69136
202411중순,홍고추,10키로,상,97987,52809,65096
202411하순,홍고추,10키로,상,135503,71273,64917
202412상순,홍고추,10키로,상,193900,80852,74021
202412중순,홍고추,10키로,상,246877,77846,68483
202412하순,홍고추,10키로,상,208514,69448,62473
202501상순,홍고추,10키로,상,126428,54157,52218
202501중순,홍고추,10키로,상,78414,48787,52799
202501하순,홍고추,10키로,상,93016,64385,68061
